core	outsider	nonsep	gene.name
247	34	5	6	1X24760
248	37	2	6	1X24778
249	34	5	6	1X24804
250	29	10	6	1X24896
251	37	2	6	1X25012
252	33	6	6	1X25044
253	37	2	6	1X25045
254	13	26	6	1X25211
255	36	3	6	1X25373
256	20	19	6	1X25447
257	22	17	6	1X25773
258	32	7	6	1X25816
259	33	6	6	1X25873
260	33	6	6	1X25878
261	23	16	6	1X25890
262	35	4	6	1X25895
263	28	11	6	1X25901
264	26	13	6	1X25915
265	34	5	6	1X25965
266	35	4	6	1X25979
267	37	2	6	1X26058
268	25	14	6	1X26161
269	19	20	6	1X26256
270	35	4	6	1X26289
271	36	3	6	1X26333
272	32	7	6	1X26498
273	34	5	6	1X26504
274	34	5	6	1X26561
275	35	4	6	1X26565
276	35	4	6	1X26713
277	32	7	6	1X26894
278	32	7	6	1X27094
279	19	20	6	1X27265
280	25	14	6	1X27393
281	5	34	6	1X27394
282	36	3	6	1X27395
283	22	17	6	1X27397
284	29	10	6	1X27400
285	37	2	6	1X27438
286	37	2	6	1X27523
287	27	12	6	1X27648
288	37	2	6	1X27747
289	34	5	6	1X27831
290	35	4	6	1X27860
291	32	7	6	1X27882
292	35	4	6	1X27926
293	36	3	6	1X28050
294	37	2	6	1X28280
295	37	2	6	1X28358
296	33	6	6	1X28378
297	35	4	6	1X28385
298	23	16	6	1X28387
299	22	17	6	1X28392
300	36	3	6	1X28396
301	34	5	6	1X28403
302	28	11	6	1X28453
303	32	7	6	1X28541
304	37	2	6	1X28545
305	37	2	6	1X28547
306	32	7	6	1X28792
307	29	10	6	1X28942
308	26	13	6	1X28945
309	29	10	6	1X28958
310	37	2	6	1X29221
311	37	2	6	1X29252
312	26	13	6	1X29421
313	34	5	6	1X29424
314	37	2	6	1X29455
315	20	19	6	1X29472
316	30	9	6	1X29475
317	36	3	6	1X29532
318	37	2	6	1X29534
319	24	15	6	1X29553
320	29	10	6	1X29970
321	36	3	6	1X30037
322	22	17	6	1X30105
323	22	17	6	1X30500
324	22	17	6	1X30560
325	36	3	6	1X30767
326	24	15	6	1X30777
327	35	4	6	1X30794
328	33	6	6	1X30880
329	25	14	6	1X30903
330	24	15	6	1X30904
331	37	2	6	1X30952
332	15	24	6	1X30988
333	36	3	6	1X31076
334	37	2	6	1X31081
335	35	4	6	1X31084
336	35	4	6	1X31087
337	25	14	6	1X31171
338	29	10	6	1X31200
339	33	6	6	1X31238
340	27	12	6	1X31240
341	36	3	6	1X31426
342	26	13	6	1X31443
343	36	3	6	1X31580
344	35	4	6	1X31583
345	31	8	6	1X31586
346	31	8	6	1X31593
347	29	10	6	1X31600
348	31	8	6	1X31651
349	20	19	6	1X32104
