core	outsider	nonsep	gene.name
247	21	5	19	1X24760
248	31	2	12	1X24778
249	19	5	21	1X24804
250	13	10	22	1X24896
251	28	2	15	1X25012
252	20	6	19	1X25044
253	25	2	18	1X25045
254	7	26	12	1X25211
255	21	3	21	1X25373
256	11	19	15	1X25447
257	10	17	18	1X25773
258	27	7	11	1X25816
259	23	6	16	1X25873
260	28	6	11	1X25878
261	12	16	17	1X25890
262	23	4	18	1X25895
263	23	11	11	1X25901
264	23	13	9	1X25915
265	15	5	25	1X25965
266	31	4	10	1X25979
267	16	2	27	1X26058
268	15	14	16	1X26161
269	11	20	14	1X26256
270	26	4	15	1X26289
271	29	3	13	1X26333
272	16	7	22	1X26498
273	30	5	10	1X26504
274	16	5	24	1X26561
275	33	4	8	1X26565
276	22	4	19	1X26713
277	22	7	16	1X26894
278	25	7	13	1X27094
279	17	20	8	1X27265
280	15	14	16	1X27393
281	4	34	7	1X27394
282	32	3	10	1X27395
283	9	17	19	1X27397
284	15	10	20	1X27400
285	31	2	12	1X27438
286	32	2	11	1X27523
287	10	12	23	1X27648
288	24	2	19	1X27747
289	20	5	20	1X27831
290	15	4	26	1X27860
291	12	7	26	1X27882
292	24	4	17	1X27926
293	15	3	27	1X28050
294	33	2	10	1X28280
295	20	2	23	1X28358
296	19	6	20	1X28378
297	20	4	21	1X28385
298	14	16	15	1X28387
299	16	17	12	1X28392
300	16	3	26	1X28396
301	23	5	17	1X28403
302	12	11	22	1X28453
303	18	7	20	1X28541
304	28	2	15	1X28545
305	24	2	19	1X28547
306	25	7	13	1X28792
307	11	10	24	1X28942
308	17	13	15	1X28945
309	12	10	23	1X28958
310	21	2	22	1X29221
311	15	2	28	1X29252
312	20	13	12	1X29421
313	21	5	19	1X29424
314	28	2	15	1X29455
315	10	19	16	1X29472
316	20	9	16	1X29475
317	35	3	7	1X29532
318	25	2	18	1X29534
319	16	15	14	1X29553
320	16	10	19	1X29970
321	21	3	21	1X30037
322	10	17	18	1X30105
323	17	17	11	1X30500
324	10	17	18	1X30560
325	33	3	9	1X30767
326	14	15	16	1X30777
327	30	4	11	1X30794
328	22	6	17	1X30880
329	20	14	11	1X30903
330	13	15	17	1X30904
331	30	2	13	1X30952
332	12	24	9	1X30988
333	26	3	16	1X31076
334	35	2	8	1X31081
335	29	4	12	1X31084
336	17	4	24	1X31087
337	11	14	20	1X31171
338	18	10	17	1X31200
339	22	6	17	1X31238
340	19	12	14	1X31240
341	31	3	11	1X31426
342	17	13	15	1X31443
343	16	3	26	1X31580
344	25	4	16	1X31583
345	14	8	23	1X31586
346	12	8	25	1X31593
347	15	10	20	1X31600
348	17	8	20	1X31651
349	11	19	15	1X32104
350	30	5	10	1X32135
351	13	9	23	1X32146
352	15	4	26	1X32251
353	19	4	22	1X32340
354	13	3	29	1X32539
355	27	2	16	1X32670
356	34	2	9	1X32676
357	16	6	23	1X32760
358	16	10	19	1X32940
359	9	21	15	1X32955
360	12	5	28	1X32978
361	29	5	11	1X33033
